number,name,status
682,Format Specifier for Signed Zero,
683,"Immortal Objects, Using a Fixed Refcount",
686,Make UTF-8 mode default,
684,A Per-Interpreter GIL,
679,Allow parentheses in assert statements,
676,PEP Infrastructure Process,
678,Enriching Exceptions with Notes,
680,tomllib: Support for Parsing TOML in the Standard Library,
681,Data Class Transforms,
677,Callable Type Syntax,
675,Arbitrary Literal String Type,
674,Disallow using macros as l-values,
671,Syntax for late-bound function argument defaults,
673,Self Type,
672,Unicode-related Security Considerations for Python,
670,Convert macros to functions in the Python C API,
669,Low Impact Monitoring for CPython,
668,Marking Python base environments as “externally managed”,
667,Consistent views of namespaces,
666,Reject Foolish Indentation,
665,A file format to list Python dependencies for reproducibility of an application,
664,Python 3.11 Release Schedule,
660,Editable installs for pyproject.toml based builds (wheel based),
661,Sentinel Values,
663,"Standardizing Enum str(), repr(), and format() behaviors",
662,Editable installs via virtual wheels,
658,Serve Distribution Metadata in the Simple Repository API,
659,Specializing Adaptive Interpreter,
656,Platform Tag for Linux Distributions Using Musl,
654,Exception Groups and except*,
657,Include Fine Grained Error Locations in Tracebacks,
655,Marking individual TypedDict items as required or potentially-missing,
648,Extensible customizations of the interpreter at startup,
650,Specifying Installer Requirements for Python Projects,
653,Precise Semantics for Pattern Matching,
651,Robust Stack Overflow Handling,
652,Maintaining the Stable ABI,
649,Deferred Evaluation Of Annotations Using Descriptors,
644,Require OpenSSL 1.1.1 or newer,
645,Allow writing optional types as ,
646,Variadic Generics,
647,User-Defined Type Guards,
643,Metadata for Package Source Distributions,
642,Explicit Pattern Syntax for Structural Pattern Matching,
640,Unused variable syntax,
638,Syntactic Macros,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
639,Improving License Clarity with Better Package Metadata,
632,Deprecate distutils module,
633,Dependency specification in pyproject.toml using an exploded TOML table,
634,Structural Pattern Matching: Specification,
637,Support for indexing with keyword arguments,
635,Structural Pattern Matching: Motivation and Rationale,
636,Structural Pattern Matching: Tutorial,
631,Dependency specification in pyproject.toml based on PEP 508,
630,Isolating Extension Modules,
628,Add ,
629,Versioning PyPI’s Simple API,
626,Precise line numbers for debugging and other tools.,
627,Recording installed projects,
623,Remove wstr from Unicode,
624,Remove Py_UNICODE encoder APIs,
622,Structural Pattern Matching,
625,Filename of a Source Distribution,
619,Python 3.10 Release Schedule,
616,String methods to remove prefixes and suffixes,
617,New PEG parser for CPython,
620,Hide implementation details from the C API,
621,Storing project metadata in pyproject.toml,
618,Add Optional Length-Checking To zip,
612,Parameter Specification Variables,
613,Explicit Type Aliases,
614,Relaxing Grammar Restrictions On Decorators,
615,Support for the IANA Time Zone Database in the Standard Library,
610,Recording the Direct URL Origin of installed distributions,
611,The one million limit,
608,Coordinated Python release,
609,Python Packaging Authority (PyPA) Governance,
607,Reducing CPython’s Feature Delivery Latency,
606,Python Compatibility Version,
605,A rolling feature release stream for CPython,
604,Allow writing union types as ,
603,Adding a frozenmap type to collections,
599,The manylinux2014 Platform Tag,
601,Forbid return/break/continue breaking out of finally,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
602,Annual Release Cycle for Python,
596,Python 3.9 Release Schedule,
597,Add optional EncodingWarning,
598,Introducing incremental feature releases,
595,Improving bugs.python.org,
594,Removing dead batteries from the standard library,
592,Adding “Yank” Support to the Simple API,
593,Flexible function and variable annotations,
591,Adding a final qualifier to typing,
590,Vectorcall: a fast calling protocol for CPython,
587,Python Initialization Configuration,
588,GitHub Issues Migration Plan,
586,Literal Types,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
583,A Concurrency Memory Model for Python,
585,Type Hinting Generics In Standard Collections,
584,Add Union Operators To dict,
582,Python local packages directory,
579,Refactoring C functions and methods,
581,Using GitHub Issues for CPython,
580,The C call protocol,
578,Python Runtime Audit Hooks,
576,Rationalize Built-in function classes,
577,Augmented Assignment Expressions,
575,Unifying function/method classes,
573,Module State Access from C Extension Methods,
572,Assignment Expressions,
574,Pickle protocol 5 with out-of-band data,
571,The manylinux2010 Platform Tag,
570,Python Positional-Only Parameters,
567,Context Variables,
566,Metadata for Python Software Packages 2.1,
569,Python 3.8 Release Schedule,
568,Generator-sensitivity for Context Variables,
565,Show DeprecationWarning in __main__,
564,Add new time functions with nanosecond resolution,
562,Module __getattr__ and __dir__,
563,Postponed Evaluation of Annotations,
560,Core support for typing module and generic types,
561,Distributing and Packaging Type Information,
558,Defined semantics for locals(),
559,Built-in noop(),
556,Threaded garbage collection,
554,Multiple Interpreters in the Stdlib,
555,Context-local variables (contextvars),
557,Data Classes,
551,Security transparency in the Python runtime,
550,Execution Context,
552,Deterministic pycs,
553,Built-in breakpoint(),
548,More Flexible Loop Control,
549,Instance Descriptors,
547,Running extension modules using the -m option,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
544,Protocols: Structural subtyping (static duck typing),
542,Dot Notation Assignment In Function Header,
545,Python Documentation Translations,
543,A Unified TLS API for Python,
540,Add a new UTF-8 Mode,
541,Package Index Name Retention,
538,Coercing the legacy C locale to a UTF-8 based locale,
539,A New C-API for Thread-Local Storage in CPython,
534,Improved Errors for Missing Standard Library Modules,
535,Rich comparison chaining,
536,Final Grammar for Literal String Interpolation,
537,Python 3.7 Release Schedule,
533,Deterministic cleanup for iterators,
532,A circuit breaking protocol and binary operators,
530,Asynchronous Comprehensions,
529,Change Windows filesystem encoding to UTF-8,
531,Existence checking operators,
527,Removing Un(der)used file types/extensions on PyPI,
528,Change Windows console encoding to UTF-8,
526,Syntax for Variable Annotations,
523,Adding a frame evaluation API to CPython,
524,Make os.urandom() blocking on Linux,
521,Managing global context via ‘with’ blocks in generators and coroutines,
525,Asynchronous Generators,
522,Allow BlockingIOError in security sensitive APIs,
520,Preserving Class Attribute Definition Order,
518,Specifying Minimum Build System Requirements for Python Projects,
519,Adding a file system path protocol,
517,A build-system independent format for source trees,
516,Build system abstraction for pip/conda etc,
514,Python registration in the Windows registry,
513,A Platform Tag for Portable Linux Built Distributions,
515,Underscores in Numeric Literals,
512,Migrating from hg.python.org to GitHub,
510,Specialize functions with guards,
511,API for code transformers,
507,Migrate CPython to Git and GitLab,
508,Dependency specification for Python Software Packages,
509,Add a private version to dict,
506,Adding A Secrets Module To The Standard Library,
505,None-aware operators,
503,Simple Repository API,
500,A protocol for delegating datetime methods to their tzinfo implementations,
504,Using the System RNG by default,
502,String Interpolation - Extended Discussion,
501,General purpose string interpolation,
497,A standard mechanism for backward compatibility,
498,Literal String Interpolation,
499,,
496,Environment Markers,
495,Local Time Disambiguation,
494,Python 3.6 Release Schedule,
493,HTTPS verification migration tools for Python 2.7,
491,The Wheel Binary Package Format 1.9,
492,Coroutines with async and await syntax,
490,Chain exceptions at C level,
489,Multi-phase extension module initialization,
488,Elimination of PYO files,
486,Make the Python Launcher aware of virtual environments,
485,A Function for testing approximate equality,
487,Simpler customisation of class creation,
484,Type Hints,
483,The Theory of Type Hints,
482,Literature Overview for Type Hints,
481,"Migrate CPython to Git, Github, and Phabricator",
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
478,Python 3.5 Release Schedule,
479,Change StopIteration handling inside generators,
477,Backport ensurepip (PEP 453) to Python 2.7,
476,Enabling certificate verification by default for stdlib http clients,
475,Retry system calls failing with EINTR,
471,os.scandir() function – a better and faster directory iterator,
470,Removing External Hosting Support on PyPI,
473,Adding structured data to built-in exceptions,
472,Support for indexing with keyword arguments,
474,Creating forge.python.org,
468,Preserving the order of **kwargs in a function.,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
469,Migration of dict iteration code to Python 3,
464,Removal of the PyPI Mirror Authenticity API,
463,Exception-catching expressions,
465,A dedicated infix operator for matrix multiplication,
462,Core development workflow automation for CPython,
461,Adding % formatting to bytes and bytearray,
459,Standard Metadata Extensions for Python Software Packages,
458,Secure PyPI downloads with signed repository metadata,
460,Add binary interpolation and formatting,
455,Adding a key-transforming dictionary to collections,
454,Add a new tracemalloc module to trace Python memory allocations,
456,Secure and interchangeable hash algorithm,
453,Explicit bootstrapping of pip in Python installations,
457,Notation For Positional-Only Parameters,
452,API for Cryptographic Hash Functions v2.0,
450,Adding A Statistics Module To The Standard Library,
451,A ModuleSpec Type for the Import System,
448,Additional Unpacking Generalizations,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
447,Add __getdescriptor__ method to metaclass,
446,Make newly created file descriptors non-inheritable,
443,Single-dispatch generic functions,
445,Add new APIs to customize Python memory allocators,
442,Safe object finalization,
444,Python Web3 Interface,
437,"A DSL for specifying signatures, annotations and argument converters",
439,Inclusion of implicit pip bootstrap in Python installation,
441,Improving Python ZIP Application Support,
440,Version Identification and Dependency Specification,
438,Transitioning to release-file hosting on PyPI,
433,Easier suppression of file descriptor inheritance,
434,IDLE Enhancement Exception for All Branches,
435,Adding an Enum type to the Python standard library,
436,The Argument Clinic DSL,
430,Migrating to Python 3 as the default online documentation,
432,Restructuring the CPython startup sequence,
431,Time zone support improvements,
429,Python 3.4 Release Schedule,
427,The Wheel Binary Package Format 1.0,
426,Metadata for Python Software Packages 2.0,
428,The pathlib module – object-oriented filesystem paths,
425,Compatibility Tags for Built Distributions,
424,A method for exposing a length hint,
422,Simpler customisation of class creation,
423,Naming conventions and recipes related to packaging,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
417,Including mock in the Standard Library,
418,"Add monotonic time, performance counter, and process time functions",
419,Protecting cleanup statements from interruptions,
415,Implement context suppression with exception attributes,
416,Add a frozendict builtin type,
414,Explicit Unicode Literal for Python 3.3,
413,Faster evolution of the Python Standard Library,
412,Key-Sharing Dictionary,
411,Provisional packages in the Python standard library,
408,Standard library __preview__ package,
407,New release cycle and introducing long-term support versions,
409,Suppressing exception context,
410,Use decimal.Decimal type for timestamps,
406,Improved Encapsulation of Import State,
405,Python Virtual Environments,
403,General purpose decorator clause (aka “@in” clause),
404,Python 2.8 Un-release Schedule,
401,BDFL Retirement,
402,Simplified Package Layout and Partitioning,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
399,Pure Python/C Accelerator Module Compatibility Requirements,
396,Module Version Numbers,
397,Python launcher for Windows,
398,Python 3.3 Release Schedule,
395,Qualified Names for Modules,
393,Flexible String Representation,
392,Python 3.2 Release Schedule,
394,The “python” Command on Unix-Like Systems,
391,Dictionary-Based Configuration For Logging,
390,Static metadata for Distutils,
389,argparse - New Command Line Parsing Module,
386,Changing the version comparison module in Distutils,
384,Defining a Stable ABI,
387,Backwards Compatibility Policy,
385,Migrating from Subversion to Mercurial,
382,Namespace Packages,
383,Non-decodable Bytes in System Character Interfaces,
380,Syntax for Delegating to a Subgenerator,
381,Mirroring infrastructure for PyPI,
379,Adding an Assignment Expression,
378,Format Specifier for Thousands Separator,
376,Database of Installed Python Distributions,
375,Python 3.1 Release Schedule,
377,Allow __enter__() methods to skip the statement body,
372,Adding an ordered dictionary to collections,
374,Choosing a distributed VCS for the Python project,
371,Addition of the multiprocessing package to the standard library,
373,Python 2.7 Release Schedule,
370,Per user site-packages directory,
369,Post import hooks,
368,Standard image protocol and class,
367,New Super,
363,Syntax For Dynamic Attribute Access,
366,Main module explicit relative imports,
364,Transitioning to the Py3K Standard Library,
365,Adding the pkg_resources module,
360,Externally Maintained Packages,
362,Function Signature Object,
361,Python 2.6 and 3.0 Release Schedule,
357,Allowing Any Object to be Used for Slicing,
359,The “make” Statement,
358,The “bytes” Object,
356,Python 2.5 Release Schedule,
353,Using ssize_t as the index type,
355,Path - Object oriented filesystem paths,
354,Enumerations in Python,
352,Required Superclass for Exceptions,
351,The freeze protocol,
350,Codetags,
349,Allow str() to return unicode strings,
347,Migrating the Python CVS to Subversion,
346,User Defined (”,
348,Exception Reorganization for Python 3.0,
345,Metadata for Python Software Packages 1.2,
341,Unifying try-except and try-finally,
340,Anonymous Block Statements,
343,The “with” Statement,
339,Design of the CPython Compiler,
344,Exception Chaining and Embedded Tracebacks,
342,Coroutines via Enhanced Generators,
337,Logging Usage in the Standard Library,
336,Make None Callable,
338,Executing modules as scripts,
335,Overloadable Boolean Operators,
334,Simple Coroutines via SuspendIteration,
332,Byte vectors and String/Unicode Unification,
333,Python Web Server Gateway Interface v1.0,
329,Treating Builtins as Constants in the Standard Library,
330,Python Bytecode Verification,
331,Locale-Independent Float/String Conversions,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
325,Resource-Release Support for Generators,
324,subprocess - New process module,
323,Copyable Iterators,
321,Date/Time Parsing and Formatting,
322,Reverse Iteration,
320,Python 2.4 Release Schedule,
318,Decorators for Functions and Methods,
319,Python Synchronize/Asynchronize Block,
316,Programming by Contract for Python,
317,Eliminate Implicit Exception Instantiation,
314,Metadata for Python Software Packages 1.1,
315,Enhanced While Loop,
313,Adding Roman Numeral Literals to Python,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
310,Reliable Acquisition/Release Pairs,
312,Simple Implicit Lambda,
309,Partial Function Application,
308,Conditional Expressions,
307,Extensions to the pickle protocol,
305,CSV File API,
306,How to Change Python’s Grammar,
303,Extend divmod() for Multiple Divisors,
304,Controlling Generation of Bytecode Files,
302,New Import Hooks,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
299,Special __main__() function in modules,
298,The Locked Buffer Interface,
295,Interpretation of multiline string constants,
296,Adding a bytes Object Type,
297,Support for System Upgrades,
294,Type Names in the types Module,
293,Codec Error Handling Callbacks,
289,Generator Expressions,
290,Code Migration and Modernization,
292,Simpler String Substitutions,
291,Backward Compatibility for the Python 2 Standard Library,
286,Enhanced Argument Tuples,
287,reStructuredText Docstring Format,
288,Generators Attributes and Exceptions,
285,Adding a bool type,
284,Integer for-loops,
283,Python 2.3 Release Schedule,
282,A Logging System,
281,Loop Counter Iteration with range and xrange,
280,Optimizing access to globals,
279,The enumerate() built-in function,
278,Universal Newline Support,
277,Unicode file name support for Windows NT,
273,Import Modules from Zip Archives,
274,Dict Comprehensions,
276,Simple Iterator for ints,
275,Switching on Multiple Values,
272,API for Block Encryption Algorithms v1.0,
269,Pgen Module for Python,
270,uniq method for list objects,
267,Optimized Access to Module Namespaces,
268,Extended HTTP functionality and WebDAV,
271,Prefixing sys.path by command line option,
265,Sorting Dictionaries by Value,
266,Optimizing Global Variable/Attribute Access,
264,Future statements in simulated shells,
261,Support for “wide” Unicode characters,
263,Defining Python Source Code Encodings,
262,A Database of Installed Python Packages,
258,Docutils Design Specification,
256,Docstring Processing System Framework,
257,Docstring Conventions,
260,Simplify xrange(),
259,Omit printing newline after newline,
255,Simple Generators,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
252,Making Types Look More Like Classes,
251,Python 2.2 Release Schedule,
249,Python Database API Specification v2.0,
250,Using site-packages on Windows,
248,Python Database API Specification v1.0,
246,Object Adaptation,
247,API for Cryptographic Hash Functions,
245,Python Interface Syntax,
244,The ,
241,Metadata for Python Software Packages,
240,Adding a Rational Literal to Python,
242,Numeric Kinds,
243,Module Repository Upload Mechanism,
239,Adding a Rational Type to Python,
236,Back to the __future__,
237,Unifying Long Integers and Integers,
235,Import on Case-Insensitive Platforms,
238,Changing the Division Operator,
234,Iterators,
233,Python Online Help,
232,Function Attributes,
230,Warning Framework,
229,Using Distutils to Build Python,
231,__findattr__(),
228,Reworking Python’s Numeric Model,
227,Statically Nested Scopes,
210,Decoupling the Interpreter Loop,
209,Multi-dimensional Arrays,
208,Reworking the Coercion Model,
211,Adding A New Outer Product Operator,
207,Rich Comparisons,
205,Weak References,
206,Python Advanced Library,
203,Augmented Assignments,
202,List Comprehensions,
204,Range Literals,
160,Python 1.6 Release Schedule,
200,Python 2.0 Release Schedule,
103,Collecting information about git,
201,Lockstep Iteration,
101,Doing Python Releases 101,
102,Doing Python Micro Releases,
20,The Zen of Python,
13,Python Language Governance,
42,Feature Requests,
100,Python Unicode Integration,
8,Style Guide for Python Code,
9,Sample Plaintext PEP Template,
5,Guidelines for Language Evolution,
12,Sample reStructuredText PEP Template,
7,Style Guide for C Code,
11,CPython platform support,
3,Guidelines for Handling Bug Reports,
10,Voting Guidelines,
4,Deprecation of Standard Modules,
6,Bug Fix Releases,
2,Procedure for Adding New Modules,
