number,name,status
725,Specifying external dependencies in pyproject.toml,
722,Dependency specification for single-file scripts,
720,Cross-compiling Python packages,
721,Using tarfile.data_filter for source distribution extraction,
723,Embedding pyproject.toml in single-file scripts,
713,Callable Modules,
712,Adding a “converter” parameter to dataclasses.field,
719,Python 3.13 Release Schedule,
715,Disabling bdist_egg distribution uploads on PyPI,
714,Rename dist-info-metadata in the Simple API,
718,Subscriptable functions,
711,PyBI: a standard format for distributing Python Binaries,
708,Extending the Repository API to Mitigate Dependency Confusion Attacks,
710,Recording the provenance of installed packages,
709,Inlined comprehensions,
707,A simplified signature for __exit__ and __aexit__,
706,Filter for tarfile.extractall,
704,Require virtual environments by default for package installers,
705,TypedMapping: Type Hints for Mappings with a Fixed Set of Keys,
702,Marking deprecations using the type system,
703,Making the Global Interpreter Lock Optional in CPython,
699,Remove private dict version field added in PEP 509,
698,Override Decorator for Static Typing,
701,Syntactic formalization of f-strings,
700,Additional Fields for the Simple API for Package Indexes,
697,Limited C API for Extending Opaque Types,
696,Type defaults for TypeVarLikes,
694,Upload 2.0 API for Python Package Repositories,
693,Python 3.12 Release Schedule,
692,Using TypedDict for more precise **kwargs typing,
695,Type Parameter Syntax,
690,Lazy Imports,
691,JSON-based Simple API for Python Package Indexes,
688,Making the buffer protocol accessible in Python,
686,Make UTF-8 mode default,
689,Unstable C API tier,
687,Isolating modules in the standard library,
682,Format Specifier for Signed Zero,
681,Data Class Transforms,
680,tomllib: Support for Parsing TOML in the Standard Library,
685,Comparison of extra names for optional distribution dependencies,
683,"Immortal Objects, Using a Fixed Refcount",
684,A Per-Interpreter GIL,
679,Allow parentheses in assert statements,
676,PEP Infrastructure Process,
677,Callable Type Syntax,
678,Enriching Exceptions with Notes,
674,Disallow using macros as l-values,
675,Arbitrary Literal String Type,
673,Self Type,
670,Convert macros to functions in the Python C API,
671,Syntax for late-bound function argument defaults,
669,Low Impact Monitoring for CPython,
672,Unicode-related Security Considerations for Python,
668,Marking Python base environments as “externally managed”,
663,"Standardizing Enum str(), repr(), and format() behaviors",
667,Consistent views of namespaces,
666,Reject Foolish Indentation,
665,A file format to list Python dependencies for reproducibility of an application,
664,Python 3.11 Release Schedule,
662,Editable installs via virtual wheels,
660,Editable installs for pyproject.toml based builds (wheel based),
661,Sentinel Values,
659,Specializing Adaptive Interpreter,
658,Serve Distribution Metadata in the Simple Repository API,
657,Include Fine Grained Error Locations in Tracebacks,
654,Exception Groups and except*,
655,Marking individual TypedDict items as required or potentially-missing,
656,Platform Tag for Linux Distributions Using Musl,
653,Precise Semantics for Pattern Matching,
652,Maintaining the Stable ABI,
648,Extensible customizations of the interpreter at startup,
651,Robust Stack Overflow Handling,
650,Specifying Installer Requirements for Python Projects,
649,Deferred Evaluation Of Annotations Using Descriptors,
645,Allow writing optional types as ,
647,User-Defined Type Guards,
646,Variadic Generics,
644,Require OpenSSL 1.1.1 or newer,
643,Metadata for Package Source Distributions,
642,Explicit Pattern Syntax for Structural Pattern Matching,
641,Using an underscore in the version portion of Python 3.10 compatibility tags,
640,Unused variable syntax,
636,Structural Pattern Matching: Tutorial,
638,Syntactic Macros,
635,Structural Pattern Matching: Motivation and Rationale,
639,Improving License Clarity with Better Package Metadata,
633,Dependency specification in pyproject.toml using an exploded TOML table,
637,Support for indexing with keyword arguments,
632,Deprecate distutils module,
634,Structural Pattern Matching: Specification,
629,Versioning PyPI’s Simple API,
630,Isolating Extension Modules,
631,Dependency specification in pyproject.toml based on PEP 508,
628,Add ,
627,Recording installed projects,
625,Filename of a Source Distribution,
626,Precise line numbers for debugging and other tools.,
624,Remove Py_UNICODE encoder APIs,
623,Remove wstr from Unicode,
620,Hide implementation details from the C API,
619,Python 3.10 Release Schedule,
622,Structural Pattern Matching,
621,Storing project metadata in pyproject.toml,
616,String methods to remove prefixes and suffixes,
613,Explicit Type Aliases,
618,Add Optional Length-Checking To zip,
615,Support for the IANA Time Zone Database in the Standard Library,
614,Relaxing Grammar Restrictions On Decorators,
617,New PEG parser for CPython,
612,Parameter Specification Variables,
611,The one million limit,
610,Recording the Direct URL Origin of installed distributions,
609,Python Packaging Authority (PyPA) Governance,
607,Reducing CPython’s Feature Delivery Latency,
608,Coordinated Python release,
603,Adding a frozenmap type to collections,
605,A rolling feature release stream for CPython,
602,Annual Release Cycle for Python,
606,Python Compatibility Version,
604,Allow writing union types as ,
601,Forbid return/break/continue breaking out of finally,
599,The manylinux2014 Platform Tag,
600,Future ‘manylinux’ Platform Tags for Portable Linux Built Distributions,
597,Add optional EncodingWarning,
596,Python 3.9 Release Schedule,
595,Improving bugs.python.org,
594,Removing dead batteries from the standard library,
598,Introducing incremental feature releases,
593,Flexible function and variable annotations,
592,Adding “Yank” Support to the Simple API,
591,Adding a final qualifier to typing,
587,Python Initialization Configuration,
590,Vectorcall: a fast calling protocol for CPython,
588,GitHub Issues Migration Plan,
589,TypedDict: Type Hints for Dictionaries with a Fixed Set of Keys,
585,Type Hinting Generics In Standard Collections,
586,Literal Types,
583,A Concurrency Memory Model for Python,
584,Add Union Operators To dict,
581,Using GitHub Issues for CPython,
582,Python local packages directory,
580,The C call protocol,
578,Python Runtime Audit Hooks,
579,Refactoring C functions and methods,
575,Unifying function/method classes,
577,Augmented Assignment Expressions,
576,Rationalize Built-in function classes,
571,The manylinux2010 Platform Tag,
573,Module State Access from C Extension Methods,
570,Python Positional-Only Parameters,
569,Python 3.8 Release Schedule,
572,Assignment Expressions,
574,Pickle protocol 5 with out-of-band data,
566,Metadata for Python Software Packages 2.1,
567,Context Variables,
568,Generator-sensitivity for Context Variables,
565,Show DeprecationWarning in __main__,
564,Add new time functions with nanosecond resolution,
562,Module __getattr__ and __dir__,
563,Postponed Evaluation of Annotations,
561,Distributing and Packaging Type Information,
559,Built-in noop(),
560,Core support for typing module and generic types,
556,Threaded garbage collection,
557,Data Classes,
558,Defined semantics for locals(),
555,Context-local variables (contextvars),
554,Multiple Interpreters in the Stdlib,
553,Built-in breakpoint(),
552,Deterministic pycs,
549,Instance Descriptors,
550,Execution Context,
551,Security transparency in the Python runtime,
548,More Flexible Loop Control,
547,Running extension modules using the -m option,
546,Backport ssl.MemoryBIO and ssl.SSLObject to Python 2.7,
545,Python Documentation Translations,
543,A Unified TLS API for Python,
544,Protocols: Structural subtyping (static duck typing),
542,Dot Notation Assignment In Function Header,
541,Package Index Name Retention,
540,Add a new UTF-8 Mode,
539,A New C-API for Thread-Local Storage in CPython,
537,Python 3.7 Release Schedule,
536,Final Grammar for Literal String Interpolation,
534,Improved Errors for Missing Standard Library Modules,
535,Rich comparison chaining,
538,Coercing the legacy C locale to a UTF-8 based locale,
533,Deterministic cleanup for iterators,
532,A circuit breaking protocol and binary operators,
530,Asynchronous Comprehensions,
531,Existence checking operators,
529,Change Windows filesystem encoding to UTF-8,
527,Removing Un(der)used file types/extensions on PyPI,
525,Asynchronous Generators,
528,Change Windows console encoding to UTF-8,
526,Syntax for Variable Annotations,
524,Make os.urandom() blocking on Linux,
518,Specifying Minimum Build System Requirements for Python Projects,
519,Adding a file system path protocol,
521,Managing global context via ‘with’ blocks in generators and coroutines,
522,Allow BlockingIOError in security sensitive APIs,
520,Preserving Class Attribute Definition Order,
523,Adding a frame evaluation API to CPython,
517,A build-system independent format for source trees,
516,Build system abstraction for pip/conda etc,
514,Python registration in the Windows registry,
515,Underscores in Numeric Literals,
510,Specialize functions with guards,
508,Dependency specification for Python Software Packages,
513,A Platform Tag for Portable Linux Built Distributions,
509,Add a private version to dict,
512,Migrating from hg.python.org to GitHub,
511,API for code transformers,
506,Adding A Secrets Module To The Standard Library,
503,Simple Repository API,
505,None-aware operators,
502,String Interpolation - Extended Discussion,
504,Using the System RNG by default,
507,Migrate CPython to Git and GitLab,
501,General purpose string interpolation,
500,A protocol for delegating datetime methods to their tzinfo implementations,
499,,
498,Literal String Interpolation,
497,A standard mechanism for backward compatibility,
496,Environment Markers,
493,HTTPS verification migration tools for Python 2.7,
495,Local Time Disambiguation,
492,Coroutines with async and await syntax,
491,The Wheel Binary Package Format 1.9,
490,Chain exceptions at C level,
494,Python 3.6 Release Schedule,
489,Multi-phase extension module initialization,
486,Make the Python Launcher aware of virtual environments,
487,Simpler customisation of class creation,
488,Elimination of PYO files,
485,A Function for testing approximate equality,
484,Type Hints,
482,Literature Overview for Type Hints,
481,"Migrate CPython to Git, Github, and Phabricator",
478,Python 3.5 Release Schedule,
483,The Theory of Type Hints,
480,Surviving a Compromise of PyPI: End-to-end signing of packages,
479,Change StopIteration handling inside generators,
476,Enabling certificate verification by default for stdlib http clients,
477,Backport ensurepip (PEP 453) to Python 2.7,
475,Retry system calls failing with EINTR,
473,Adding structured data to built-in exceptions,
472,Support for indexing with keyword arguments,
474,Creating forge.python.org,
471,os.scandir() function – a better and faster directory iterator,
469,Migration of dict iteration code to Python 3,
468,Preserving the order of **kwargs in a function.,
470,Removing External Hosting Support on PyPI,
467,Minor API improvements for binary sequences,
466,Network Security Enhancements for Python 2.7.x,
460,Add binary interpolation and formatting,
462,Core development workflow automation for CPython,
463,Exception-catching expressions,
465,A dedicated infix operator for matrix multiplication,
464,Removal of the PyPI Mirror Authenticity API,
461,Adding % formatting to bytes and bytearray,
457,Notation For Positional-Only Parameters,
455,Adding a key-transforming dictionary to collections,
459,Standard Metadata Extensions for Python Software Packages,
456,Secure and interchangeable hash algorithm,
454,Add a new tracemalloc module to trace Python memory allocations,
458,Secure PyPI downloads with signed repository metadata,
452,API for Cryptographic Hash Functions v2.0,
453,Explicit bootstrapping of pip in Python installations,
450,Adding A Statistics Module To The Standard Library,
451,A ModuleSpec Type for the Import System,
449,Removal of the PyPI Mirror Auto Discovery and Naming Scheme,
445,Add new APIs to customize Python memory allocators,
447,Add __getdescriptor__ method to metaclass,
448,Additional Unpacking Generalizations,
444,Python Web3 Interface,
446,Make newly created file descriptors non-inheritable,
443,Single-dispatch generic functions,
442,Safe object finalization,
441,Improving Python ZIP Application Support,
439,Inclusion of implicit pip bootstrap in Python installation,
438,Transitioning to release-file hosting on PyPI,
440,Version Identification and Dependency Specification,
436,The Argument Clinic DSL,
437,"A DSL for specifying signatures, annotations and argument converters",
435,Adding an Enum type to the Python standard library,
434,IDLE Enhancement Exception for All Branches,
432,Restructuring the CPython startup sequence,
433,Easier suppression of file descriptor inheritance,
431,Time zone support improvements,
429,Python 3.4 Release Schedule,
428,The pathlib module – object-oriented filesystem paths,
427,The Wheel Binary Package Format 1.0,
430,Migrating to Python 3 as the default online documentation,
426,Metadata for Python Software Packages 2.0,
424,A method for exposing a length hint,
422,Simpler customisation of class creation,
425,Compatibility Tags for Built Distributions,
423,Naming conventions and recipes related to packaging,
421,Adding sys.implementation,
420,Implicit Namespace Packages,
419,Protecting cleanup statements from interruptions,
418,"Add monotonic time, performance counter, and process time functions",
416,Add a frozendict builtin type,
417,Including mock in the Standard Library,
412,Key-Sharing Dictionary,
413,Faster evolution of the Python Standard Library,
415,Implement context suppression with exception attributes,
410,Use decimal.Decimal type for timestamps,
414,Explicit Unicode Literal for Python 3.3,
411,Provisional packages in the Python standard library,
409,Suppressing exception context,
407,New release cycle and introducing long-term support versions,
406,Improved Encapsulation of Import State,
405,Python Virtual Environments,
408,Standard library __preview__ package,
404,Python 2.8 Un-release Schedule,
402,Simplified Package Layout and Partitioning,
403,General purpose decorator clause (aka “@in” clause),
401,BDFL Retirement,
400,Deprecate codecs.StreamReader and codecs.StreamWriter,
399,Pure Python/C Accelerator Module Compatibility Requirements,
396,Module Version Numbers,
398,Python 3.3 Release Schedule,
397,Python launcher for Windows,
394,The “python” Command on Unix-Like Systems,
395,Qualified Names for Modules,
393,Flexible String Representation,
390,Static metadata for Distutils,
391,Dictionary-Based Configuration For Logging,
392,Python 3.2 Release Schedule,
389,argparse - New Command Line Parsing Module,
387,Backwards Compatibility Policy,
386,Changing the version comparison module in Distutils,
385,Migrating from Subversion to Mercurial,
379,Adding an Assignment Expression,
380,Syntax for Delegating to a Subgenerator,
382,Namespace Packages,
384,Defining a Stable ABI,
383,Non-decodable Bytes in System Character Interfaces,
381,Mirroring infrastructure for PyPI,
378,Format Specifier for Thousands Separator,
373,Python 2.7 Release Schedule,
377,Allow __enter__() methods to skip the statement body,
375,Python 3.1 Release Schedule,
376,Database of Installed Python Distributions,
374,Choosing a distributed VCS for the Python project,
372,Adding an ordered dictionary to collections,
371,Addition of the multiprocessing package to the standard library,
370,Per user site-packages directory,
369,Post import hooks,
364,Transitioning to the Py3K Standard Library,
363,Syntax For Dynamic Attribute Access,
365,Adding the pkg_resources module,
367,New Super,
368,Standard image protocol and class,
366,Main module explicit relative imports,
358,The “bytes” Object,
361,Python 2.6 and 3.0 Release Schedule,
357,Allowing Any Object to be Used for Slicing,
360,Externally Maintained Packages,
359,The “make” Statement,
362,Function Signature Object,
356,Python 2.5 Release Schedule,
354,Enumerations in Python,
355,Path - Object oriented filesystem paths,
353,Using ssize_t as the index type,
351,The freeze protocol,
350,Codetags,
352,Required Superclass for Exceptions,
348,Exception Reorganization for Python 3.0,
346,User Defined (”,
347,Migrating the Python CVS to Subversion,
349,Allow str() to return unicode strings,
341,Unifying try-except and try-finally,
342,Coroutines via Enhanced Generators,
344,Exception Chaining and Embedded Tracebacks,
343,The “with” Statement,
340,Anonymous Block Statements,
345,Metadata for Python Software Packages 1.2,
339,Design of the CPython Compiler,
338,Executing modules as scripts,
337,Logging Usage in the Standard Library,
336,Make None Callable,
332,Byte vectors and String/Unicode Unification,
330,Python Bytecode Verification,
333,Python Web Server Gateway Interface v1.0,
335,Overloadable Boolean Operators,
331,Locale-Independent Float/String Conversions,
334,Simple Coroutines via SuspendIteration,
324,subprocess - New process module,
329,Treating Builtins as Constants in the Standard Library,
325,Resource-Release Support for Generators,
328,Imports: Multi-Line and Absolute/Relative,
327,Decimal Data Type,
326,A Case for Top and Bottom Values,
322,Reverse Iteration,
323,Copyable Iterators,
320,Python 2.4 Release Schedule,
321,Date/Time Parsing and Formatting,
314,Metadata for Python Software Packages 1.1,
316,Programming by Contract for Python,
317,Eliminate Implicit Exception Instantiation,
318,Decorators for Functions and Methods,
319,Python Synchronize/Asynchronize Block,
315,Enhanced While Loop,
312,Simple Implicit Lambda,
313,Adding Roman Numeral Literals to Python,
310,Reliable Acquisition/Release Pairs,
311,Simplified Global Interpreter Lock Acquisition for Extensions,
309,Partial Function Application,
308,Conditional Expressions,
307,Extensions to the pickle protocol,
306,How to Change Python’s Grammar,
305,CSV File API,
304,Controlling Generation of Bytecode Files,
297,Support for System Upgrades,
299,Special __main__() function in modules,
301,Package Index and Metadata for Distutils,Either “success” or “fail”.
303,Extend divmod() for Multiple Divisors,
298,The Locked Buffer Interface,
302,New Import Hooks,
296,Adding a bytes Object Type,
295,Interpretation of multiline string constants,
291,Backward Compatibility for the Python 2 Standard Library,
294,Type Names in the types Module,
292,Simpler String Substitutions,
290,Code Migration and Modernization,
293,Codec Error Handling Callbacks,
288,Generators Attributes and Exceptions,
289,Generator Expressions,
287,reStructuredText Docstring Format,
285,Adding a bool type,
283,Python 2.3 Release Schedule,
284,Integer for-loops,
281,Loop Counter Iteration with range and xrange,
282,A Logging System,
286,Enhanced Argument Tuples,
278,Universal Newline Support,
279,The enumerate() built-in function,
275,Switching on Multiple Values,
277,Unicode file name support for Windows NT,
280,Optimizing access to globals,
276,Simple Iterator for ints,
274,Dict Comprehensions,
273,Import Modules from Zip Archives,
272,API for Block Encryption Algorithms v1.0,
271,Prefixing sys.path by command line option,
270,uniq method for list objects,
269,Pgen Module for Python,
268,Extended HTTP functionality and WebDAV,
267,Optimized Access to Module Namespaces,
266,Optimizing Global Variable/Attribute Access,
264,Future statements in simulated shells,
265,Sorting Dictionaries by Value,
263,Defining Python Source Code Encodings,
260,Simplify xrange(),
261,Support for “wide” Unicode characters,
259,Omit printing newline after newline,
257,Docstring Conventions,
262,A Database of Installed Python Packages,
256,Docstring Processing System Framework,
258,Docutils Design Specification,
255,Simple Generators,
254,Making Classes Look More Like Types,
253,Subtyping Built-in Types,
251,Python 2.2 Release Schedule,
252,Making Types Look More Like Classes,
244,The ,
245,Python Interface Syntax,
246,Object Adaptation,
249,Python Database API Specification v2.0,
248,Python Database API Specification v1.0,
247,API for Cryptographic Hash Functions,
250,Using site-packages on Windows,
241,Metadata for Python Software Packages,
242,Numeric Kinds,
243,Module Repository Upload Mechanism,
240,Adding a Rational Literal to Python,
239,Adding a Rational Type to Python,
238,Changing the Division Operator,
237,Unifying Long Integers and Integers,
236,Back to the __future__,
235,Import on Case-Insensitive Platforms,
234,Iterators,
232,Function Attributes,
231,__findattr__(),
230,Warning Framework,
233,Python Online Help,
213,Attribute Access Handlers,
214,Extended Print Statement,
211,Adding A New Outer Product Operator,
212,Loop Counter Iteration,
209,Multi-dimensional Arrays,
210,Decoupling the Interpreter Loop,
208,Reworking the Coercion Model,
207,Rich Comparisons,
203,Augmented Assignments,
206,Python Advanced Library,
205,Weak References,
204,Range Literals,
103,Collecting information about git,
202,List Comprehensions,
102,Doing Python Micro Releases,
201,Lockstep Iteration,
160,Python 1.6 Release Schedule,
200,Python 2.0 Release Schedule,
100,Python Unicode Integration,
20,The Zen of Python,
101,Doing Python Releases 101,
42,Feature Requests,
13,Python Language Governance,
10,Voting Guidelines,
12,Sample reStructuredText PEP Template,
9,Sample Plaintext PEP Template,
11,CPython platform support,
3,Guidelines for Handling Bug Reports,
7,Style Guide for C Code,
5,Guidelines for Language Evolution,
4,Deprecation of Standard Modules,
2,Procedure for Adding New Modules,
8,Style Guide for Python Code,
6,Bug Fix Releases,
